,state_code_year,month,WET_DRY_SPELL,PRECIPITATION,TEMPERATURE,CLIMAT,STATE_YEAR_MONTH
14094,AK-1998,12,-99.99,2.44,3.8,continental humide ete frais,AK-1998-12
1159,AK-1999,1,-99.99,3.14,-3.3,continental humide ete frais,AK-1999-1
2335,AK-1999,2,-99.99,1.51,-3.7,continental humide ete frais,AK-1999-2
3511,AK-1999,3,-99.99,2.07,9.1,continental humide ete frais,AK-1999-3
4687,AK-1999,4,-99.99,2.7,23.6,continental humide ete frais,AK-1999-4
5863,AK-1999,5,-99.99,2.32,37.4,continental humide ete frais,AK-1999-5
7039,AK-1999,6,-99.99,2.7,51.0,continental humide ete frais,AK-1999-6
8215,AK-1999,7,-99.99,3.65,53.2,continental humide ete frais,AK-1999-7
9391,AK-1999,8,-99.99,4.25,51.1,continental humide ete frais,AK-1999-8
10567,AK-1999,9,-99.99,5.25,41.9,continental humide ete frais,AK-1999-9
11743,AK-1999,10,-99.99,5.16,22.8,continental humide ete frais,AK-1999-10
12919,AK-1999,11,-99.99,2.92,8.0,continental humide ete frais,AK-1999-11
14095,AK-1999,12,-99.99,4.62,-2.6,continental humide ete frais,AK-1999-12
1160,AK-2000,1,-99.99,3.54,0.7,continental humide ete frais,AK-2000-1
2336,AK-2000,2,-99.99,1.94,16.2,continental humide ete frais,AK-2000-2
3512,AK-2000,3,-99.99,2.55,17.2,continental humide ete frais,AK-2000-3
4688,AK-2000,4,-99.99,1.81,24.5,continental humide ete frais,AK-2000-4
5864,AK-2000,5,-99.99,1.48,35.4,continental humide ete frais,AK-2000-5
7040,AK-2000,6,-99.99,2.14,51.2,continental humide ete frais,AK-2000-6
8216,AK-2000,7,-99.99,4.42,51.8,continental humide ete frais,AK-2000-7
9392,AK-2000,8,-99.99,4.65,47.4,continental humide ete frais,AK-2000-8
10568,AK-2000,9,-99.99,5.93,38.6,continental humide ete frais,AK-2000-9
11744,AK-2000,10,-99.99,4.29,24.8,continental humide ete frais,AK-2000-10
12920,AK-2000,11,-99.99,4.29,18.2,continental humide ete frais,AK-2000-11
14096,AK-2000,12,-99.99,3.04,14.5,continental humide ete frais,AK-2000-12
1161,AK-2001,1,-99.99,4.54,15.7,continental humide ete frais,AK-2001-1
2337,AK-2001,2,-99.99,3.03,14.7,continental humide ete frais,AK-2001-2
3513,AK-2001,3,-99.99,2.47,12.0,continental humide ete frais,AK-2001-3
4689,AK-2001,4,-99.99,2.34,25.1,continental humide ete frais,AK-2001-4
5865,AK-2001,5,-99.99,2.27,32.7,continental humide ete frais,AK-2001-5
7041,AK-2001,6,-99.99,1.55,50.8,continental humide ete frais,AK-2001-6
8217,AK-2001,7,-99.99,4.38,52.1,continental humide ete frais,AK-2001-7
9393,AK-2001,8,-99.99,3.96,50.4,continental humide ete frais,AK-2001-8
10569,AK-2001,9,-99.99,3.94,42.4,continental humide ete frais,AK-2001-9
11745,AK-2001,10,-99.99,4.19,21.8,continental humide ete frais,AK-2001-10
12921,AK-2001,11,-99.99,1.96,9.7,continental humide ete frais,AK-2001-11
14097,AK-2001,12,-99.99,2.87,0.6,continental humide ete frais,AK-2001-12
1162,AK-2002,1,-99.99,3.58,9.5,continental humide ete frais,AK-2002-1
2338,AK-2002,2,-99.99,2.53,8.7,continental humide ete frais,AK-2002-2
3514,AK-2002,3,-99.99,1.43,15.4,continental humide ete frais,AK-2002-3
4690,AK-2002,4,-99.99,1.88,21.5,continental humide ete frais,AK-2002-4
5866,AK-2002,5,-99.99,2.28,41.1,continental humide ete frais,AK-2002-5
7042,AK-2002,6,-99.99,2.42,50.0,continental humide ete frais,AK-2002-6
8218,AK-2002,7,-99.99,2.83,53.4,continental humide ete frais,AK-2002-7
9394,AK-2002,8,-99.99,5.25,49.2,continental humide ete frais,AK-2002-8
10570,AK-2002,9,-99.99,5.25,42.7,continental humide ete frais,AK-2002-9
11746,AK-2002,10,-99.99,5.72,31.8,continental humide ete frais,AK-2002-10
12922,AK-2002,11,-99.99,4.45,24.1,continental humide ete frais,AK-2002-11
14098,AK-2002,12,-99.99,2.9,13.6,continental humide ete frais,AK-2002-12
1163,AK-2003,1,-99.99,2.62,10.2,continental humide ete frais,AK-2003-1
2339,AK-2003,2,-99.99,3.28,16.5,continental humide ete frais,AK-2003-2
3515,AK-2003,3,-99.99,1.92,11.0,continental humide ete frais,AK-2003-3
4691,AK-2003,4,-99.99,1.34,27.8,continental humide ete frais,AK-2003-4
5867,AK-2003,5,-99.99,2.31,38.4,continental humide ete frais,AK-2003-5
7043,AK-2003,6,-99.99,2.49,51.2,continental humide ete frais,AK-2003-6
8219,AK-2003,7,-99.99,3.88,53.5,continental humide ete frais,AK-2003-7
9395,AK-2003,8,-99.99,5.18,50.6,continental humide ete frais,AK-2003-8
10571,AK-2003,9,-99.99,3.8,39.0,continental humide ete frais,AK-2003-9
11747,AK-2003,10,-99.99,4.13,31.7,continental humide ete frais,AK-2003-10
12923,AK-2003,11,-99.99,4.42,14.8,continental humide ete frais,AK-2003-11
14099,AK-2003,12,-99.99,3.63,4.6,continental humide ete frais,AK-2003-12
1164,AK-2004,1,-99.99,2.0,-0.4,continental humide ete frais,AK-2004-1
2340,AK-2004,2,-99.99,2.63,10.1,continental humide ete frais,AK-2004-2
3516,AK-2004,3,-99.99,2.39,10.0,continental humide ete frais,AK-2004-3
4692,AK-2004,4,-99.99,2.49,28.7,continental humide ete frais,AK-2004-4
5868,AK-2004,5,-99.99,2.46,43.2,continental humide ete frais,AK-2004-5
7044,AK-2004,6,-99.99,1.86,55.1,continental humide ete frais,AK-2004-6
8220,AK-2004,7,-99.99,2.58,57.3,continental humide ete frais,AK-2004-7
9396,AK-2004,8,-99.99,2.31,55.3,continental humide ete frais,AK-2004-8
10572,AK-2004,9,-99.99,5.55,37.4,continental humide ete frais,AK-2004-9
11748,AK-2004,10,-99.99,5.0,29.5,continental humide ete frais,AK-2004-10
12924,AK-2004,11,-99.99,4.87,16.9,continental humide ete frais,AK-2004-11
14100,AK-2004,12,-99.99,4.6,8.8,continental humide ete frais,AK-2004-12
1165,AK-2005,1,-99.99,2.74,6.7,continental humide ete frais,AK-2005-1
2341,AK-2005,2,-99.99,2.75,8.0,continental humide ete frais,AK-2005-2
3517,AK-2005,3,-99.99,2.54,18.5,continental humide ete frais,AK-2005-3
4693,AK-2005,4,-99.99,1.55,24.5,continental humide ete frais,AK-2005-4
5869,AK-2005,5,-99.99,2.18,43.7,continental humide ete frais,AK-2005-5
7045,AK-2005,6,-99.99,2.23,52.5,continental humide ete frais,AK-2005-6
8221,AK-2005,7,-99.99,3.84,54.4,continental humide ete frais,AK-2005-7
9397,AK-2005,8,-99.99,4.05,52.6,continental humide ete frais,AK-2005-8
10573,AK-2005,9,-99.99,6.5,42.9,continental humide ete frais,AK-2005-9
11749,AK-2005,10,-99.99,3.95,27.4,continental humide ete frais,AK-2005-10
12925,AK-2005,11,-99.99,4.42,5.1,continental humide ete frais,AK-2005-11
14101,AK-2005,12,-99.99,3.61,13.9,continental humide ete frais,AK-2005-12
1166,AK-2006,1,-99.99,1.62,-4.7,continental humide ete frais,AK-2006-1
2342,AK-2006,2,-99.99,2.56,12.4,continental humide ete frais,AK-2006-2
3518,AK-2006,3,-99.99,1.39,7.7,continental humide ete frais,AK-2006-3
4694,AK-2006,4,-99.99,2.85,20.8,continental humide ete frais,AK-2006-4
5870,AK-2006,5,-99.99,1.83,40.0,continental humide ete frais,AK-2006-5
7046,AK-2006,6,-99.99,3.03,49.1,continental humide ete frais,AK-2006-6
8222,AK-2006,7,-99.99,3.14,53.0,continental humide ete frais,AK-2006-7
9398,AK-2006,8,-99.99,6.04,48.3,continental humide ete frais,AK-2006-8
10574,AK-2006,9,-99.99,4.94,44.3,continental humide ete frais,AK-2006-9
11750,AK-2006,10,-99.99,6.04,31.6,continental humide ete frais,AK-2006-10
12926,AK-2006,11,-99.99,1.37,6.2,continental humide ete frais,AK-2006-11
14102,AK-2006,12,-99.99,3.9,8.1,continental humide ete frais,AK-2006-12
1167,AK-2007,1,-99.99,3.29,5.5,continental humide ete frais,AK-2007-1
2343,AK-2007,2,-99.99,0.99,6.1,continental humide ete frais,AK-2007-2
3519,AK-2007,3,-99.99,1.88,-0.2,continental humide ete frais,AK-2007-3
4695,AK-2007,4,-99.99,1.74,29.9,continental humide ete frais,AK-2007-4
5871,AK-2007,5,-99.99,1.91,39.4,continental humide ete frais,AK-2007-5
7047,AK-2007,6,-99.99,1.96,51.0,continental humide ete frais,AK-2007-6
8223,AK-2007,7,-99.99,3.49,55.5,continental humide ete frais,AK-2007-7
9399,AK-2007,8,-99.99,3.0,53.2,continental humide ete frais,AK-2007-8
10575,AK-2007,9,-99.99,5.82,43.5,continental humide ete frais,AK-2007-9
11751,AK-2007,10,-99.99,3.93,25.3,continental humide ete frais,AK-2007-10
12927,AK-2007,11,-99.99,3.59,19.8,continental humide ete frais,AK-2007-11
14103,AK-2007,12,-99.99,2.49,8.0,continental humide ete frais,AK-2007-12
1168,AK-2008,1,-99.99,2.82,0.4,continental humide ete frais,AK-2008-1
2344,AK-2008,2,-99.99,2.23,1.7,continental humide ete frais,AK-2008-2
3520,AK-2008,3,-99.99,2.63,12.6,continental humide ete frais,AK-2008-3
4696,AK-2008,4,-99.99,2.51,23.0,continental humide ete frais,AK-2008-4
5872,AK-2008,5,-99.99,1.95,39.1,continental humide ete frais,AK-2008-5
7048,AK-2008,6,-99.99,2.63,48.8,continental humide ete frais,AK-2008-6
8224,AK-2008,7,-99.99,4.55,51.2,continental humide ete frais,AK-2008-7
9400,AK-2008,8,-99.99,3.05,48.4,continental humide ete frais,AK-2008-8
10576,AK-2008,9,-99.99,4.39,41.2,continental humide ete frais,AK-2008-9
11752,AK-2008,10,-99.99,5.05,18.9,continental humide ete frais,AK-2008-10
12928,AK-2008,11,-99.99,2.84,9.6,continental humide ete frais,AK-2008-11
14104,AK-2008,12,-99.99,2.44,6.0,continental humide ete frais,AK-2008-12
1169,AK-2009,1,-99.99,4.05,-0.2,continental humide ete frais,AK-2009-1
2345,AK-2009,2,-99.99,2.66,5.1,continental humide ete frais,AK-2009-2
3521,AK-2009,3,-99.99,2.57,7.1,continental humide ete frais,AK-2009-3
4697,AK-2009,4,-99.99,1.51,24.1,continental humide ete frais,AK-2009-4
5873,AK-2009,5,-99.99,1.54,40.4,continental humide ete frais,AK-2009-5
7049,AK-2009,6,-99.99,2.2,49.8,continental humide ete frais,AK-2009-6
8225,AK-2009,7,-99.99,2.66,56.1,continental humide ete frais,AK-2009-7
9401,AK-2009,8,-99.99,4.66,49.0,continental humide ete frais,AK-2009-8
10577,AK-2009,9,-99.99,4.1,41.6,continental humide ete frais,AK-2009-9
11753,AK-2009,10,-99.99,3.57,30.5,continental humide ete frais,AK-2009-10
12929,AK-2009,11,-99.99,3.35,7.4,continental humide ete frais,AK-2009-11
14105,AK-2009,12,-99.99,2.34,10.2,continental humide ete frais,AK-2009-12
1170,AK-2010,1,-99.99,1.93,1.5,continental humide ete frais,AK-2010-1
2346,AK-2010,2,-99.99,1.6,10.8,continental humide ete frais,AK-2010-2
3522,AK-2010,3,-99.99,2.61,9.8,continental humide ete frais,AK-2010-3
4698,AK-2010,4,-99.99,1.79,26.9,continental humide ete frais,AK-2010-4
5874,AK-2010,5,-99.99,1.16,41.3,continental humide ete frais,AK-2010-5
7050,AK-2010,6,-99.99,2.71,49.5,continental humide ete frais,AK-2010-6
8226,AK-2010,7,-99.99,4.56,52.1,continental humide ete frais,AK-2010-7
9402,AK-2010,8,-99.99,3.98,51.5,continental humide ete frais,AK-2010-8
10578,AK-2010,9,-99.99,3.19,42.8,continental humide ete frais,AK-2010-9
11754,AK-2010,10,-99.99,4.18,27.6,continental humide ete frais,AK-2010-10
12930,AK-2010,11,-99.99,4.29,17.7,continental humide ete frais,AK-2010-11
14106,AK-2010,12,-99.99,1.85,-2.4,continental humide ete frais,AK-2010-12
1171,AK-2011,1,-99.99,2.56,7.0,continental humide ete frais,AK-2011-1
2347,AK-2011,2,-99.99,2.86,6.0,continental humide ete frais,AK-2011-2
3523,AK-2011,3,-99.99,0.83,11.9,continental humide ete frais,AK-2011-3
4699,AK-2011,4,-99.99,1.65,23.2,continental humide ete frais,AK-2011-4
5875,AK-2011,5,-99.99,1.39,40.5,continental humide ete frais,AK-2011-5
7051,AK-2011,6,-99.99,2.58,49.8,continental humide ete frais,AK-2011-6
8227,AK-2011,7,-99.99,3.7,52.1,continental humide ete frais,AK-2011-7
9403,AK-2011,8,-99.99,6.06,49.0,continental humide ete frais,AK-2011-8
10579,AK-2011,9,-99.99,5.01,42.4,continental humide ete frais,AK-2011-9
11755,AK-2011,10,-99.99,4.16,28.5,continental humide ete frais,AK-2011-10
12931,AK-2011,11,-99.99,3.28,3.6,continental humide ete frais,AK-2011-11
14107,AK-2011,12,-99.99,4.66,9.4,continental humide ete frais,AK-2011-12
1172,AK-2012,1,-99.99,2.79,-12.8,continental humide ete frais,AK-2012-1
2348,AK-2012,2,-99.99,2.74,12.1,continental humide ete frais,AK-2012-2
3524,AK-2012,3,-99.99,1.82,4.3,continental humide ete frais,AK-2012-3
4700,AK-2012,4,-99.99,1.05,27.3,continental humide ete frais,AK-2012-4
5876,AK-2012,5,-99.99,2.63,37.2,continental humide ete frais,AK-2012-5
7052,AK-2012,6,-99.99,2.88,50.4,continental humide ete frais,AK-2012-6
8228,AK-2012,7,-99.99,4.21,52.0,continental humide ete frais,AK-2012-7
9404,AK-2012,8,-99.99,4.52,49.9,continental humide ete frais,AK-2012-8
10580,AK-2012,9,-99.99,7.25,40.6,continental humide ete frais,AK-2012-9
11756,AK-2012,10,-99.99,2.95,25.5,continental humide ete frais,AK-2012-10
12932,AK-2012,11,-99.99,1.98,6.0,continental humide ete frais,AK-2012-11
14108,AK-2012,12,-99.99,2.46,-0.8,continental humide ete frais,AK-2012-12
1173,AK-2013,1,-99.99,3.51,9.8,continental humide ete frais,AK-2013-1
2349,AK-2013,2,-99.99,2.84,6.3,continental humide ete frais,AK-2013-2
3525,AK-2013,3,-99.99,1.74,11.0,continental humide ete frais,AK-2013-3
4701,AK-2013,4,-99.99,1.89,16.7,continental humide ete frais,AK-2013-4
5877,AK-2013,5,-99.99,2.39,35.2,continental humide ete frais,AK-2013-5
7053,AK-2013,6,-99.99,1.76,53.9,continental humide ete frais,AK-2013-6
8229,AK-2013,7,-99.99,3.12,55.0,continental humide ete frais,AK-2013-7
9405,AK-2013,8,-99.99,4.54,51.4,continental humide ete frais,AK-2013-8
10581,AK-2013,9,-99.99,5.42,39.6,continental humide ete frais,AK-2013-9
11757,AK-2013,10,-99.99,6.43,34.0,continental humide ete frais,AK-2013-10
12933,AK-2013,11,-99.99,4.06,13.7,continental humide ete frais,AK-2013-11
14109,AK-2013,12,-99.99,3.11,7.0,continental humide ete frais,AK-2013-12
1174,AK-2014,1,-99.99,4.34,18.4,continental humide ete frais,AK-2014-1
2350,AK-2014,2,-99.99,1.04,6.7,continental humide ete frais,AK-2014-2
3526,AK-2014,3,-99.99,1.53,14.1,continental humide ete frais,AK-2014-3
4702,AK-2014,4,-99.99,1.42,27.4,continental humide ete frais,AK-2014-4
5878,AK-2014,5,-99.99,1.79,41.9,continental humide ete frais,AK-2014-5
7054,AK-2014,6,-99.99,3.81,48.1,continental humide ete frais,AK-2014-6
8230,AK-2014,7,-99.99,4.59,52.7,continental humide ete frais,AK-2014-7
9406,AK-2014,8,-99.99,4.85,52.0,continental humide ete frais,AK-2014-8
10582,AK-2014,9,-99.99,4.82,42.3,continental humide ete frais,AK-2014-9
11758,AK-2014,10,-99.99,3.2,25.8,continental humide ete frais,AK-2014-10
12934,AK-2014,11,-99.99,2.52,19.6,continental humide ete frais,AK-2014-11
14110,AK-2014,12,-99.99,2.84,15.0,continental humide ete frais,AK-2014-12
1175,AK-2015,1,-99.99,3.17,7.1,continental humide ete frais,AK-2015-1
2351,AK-2015,2,-99.99,1.84,12.6,continental humide ete frais,AK-2015-2
3527,AK-2015,3,-99.99,2.26,15.9,continental humide ete frais,AK-2015-3
4703,AK-2015,4,-99.99,2.73,28.2,continental humide ete frais,AK-2015-4
5879,AK-2015,5,-99.99,1.82,44.8,continental humide ete frais,AK-2015-5
7055,AK-2015,6,-99.99,2.07,52.3,continental humide ete frais,AK-2015-6
8231,AK-2015,7,-99.99,3.92,54.2,continental humide ete frais,AK-2015-7
9407,AK-2015,8,-99.99,4.88,49.3,continental humide ete frais,AK-2015-8
10583,AK-2015,9,-99.99,6.21,38.9,continental humide ete frais,AK-2015-9
11759,AK-2015,10,-99.99,4.16,31.6,continental humide ete frais,AK-2015-10
12935,AK-2015,11,-99.99,5.39,17.2,continental humide ete frais,AK-2015-11
14111,AK-2015,12,-99.99,1.65,8.3,continental humide ete frais,AK-2015-12
0,AL-1992,1,-0.28,6.12,44.1,subtropical,AL-1992-1
1176,AL-1992,2,-0.1,5.99,51.4,subtropical,AL-1992-2
2352,AL-1992,3,-0.7,4.03,54.9,subtropical,AL-1992-3
3528,AL-1992,4,-1.12,2.91,61.5,subtropical,AL-1992-4
4704,AL-1992,5,-1.6,1.95,68.0,subtropical,AL-1992-5
5880,AL-1992,6,0.51,5.44,74.9,subtropical,AL-1992-6
7056,AL-1992,7,0.71,6.07,79.9,subtropical,AL-1992-7
8232,AL-1992,8,1.49,5.87,75.8,subtropical,AL-1992-8
9408,AL-1992,9,1.48,3.61,73.4,subtropical,AL-1992-9
10584,AL-1992,10,1.49,2.59,61.9,subtropical,AL-1992-10
11760,AL-1992,11,3.2,9.48,52.4,subtropical,AL-1992-11
12936,AL-1992,12,3.1,5.73,47.1,subtropical,AL-1992-12
1,AL-1993,1,3.05,6.21,48.8,subtropical,AL-1993-1
1177,AL-1993,2,-0.4,3.72,46.2,subtropical,AL-1993-2
2353,AL-1993,3,-0.19,6.59,51.7,subtropical,AL-1993-3
3529,AL-1993,4,-0.47,3.26,58.7,subtropical,AL-1993-4
4705,AL-1993,5,-0.44,3.8,68.8,subtropical,AL-1993-5
5881,AL-1993,6,-0.62,3.39,77.6,subtropical,AL-1993-6
7057,AL-1993,7,-1.57,2.88,82.2,subtropical,AL-1993-7
8233,AL-1993,8,-1.55,4.72,80.1,subtropical,AL-1993-8
9409,AL-1993,9,-1.5,3.83,74.0,subtropical,AL-1993-9
10585,AL-1993,10,0.22,3.71,62.8,subtropical,AL-1993-10
11761,AL-1993,11,0.23,3.88,51.7,subtropical,AL-1993-11
12937,AL-1993,12,0.01,4.29,45.3,subtropical,AL-1993-12
2,AL-1994,1,0.15,5.31,40.8,subtropical,AL-1994-1
1178,AL-1994,2,0.05,5.08,50.3,subtropical,AL-1994-2
2354,AL-1994,3,0.27,7.25,55.7,subtropical,AL-1994-3
3530,AL-1994,4,-0.22,4.4,64.7,subtropical,AL-1994-4
4706,AL-1994,5,-0.39,3.2,68.4,subtropical,AL-1994-5
5882,AL-1994,6,0.96,7.0,77.8,subtropical,AL-1994-6
7058,AL-1994,7,2.41,9.43,77.6,subtropical,AL-1994-7
8234,AL-1994,8,2.02,2.91,77.2,subtropical,AL-1994-8
9410,AL-1994,9,1.93,3.61,72.2,subtropical,AL-1994-9
10586,AL-1994,10,2.52,4.97,64.0,subtropical,AL-1994-10
11762,AL-1994,11,-0.12,3.5,58.0,subtropical,AL-1994-11
12938,AL-1994,12,-0.51,3.67,49.9,subtropical,AL-1994-12
3,AL-1995,1,-0.54,4.83,45.4,subtropical,AL-1995-1
1179,AL-1995,2,-0.34,5.65,47.6,subtropical,AL-1995-2
2355,AL-1995,3,-0.65,5.42,58.2,subtropical,AL-1995-3
3531,AL-1995,4,-0.56,5.07,63.2,subtropical,AL-1995-4
4707,AL-1995,5,-0.87,3.32,72.1,subtropical,AL-1995-5
5883,AL-1995,6,-0.93,3.36,75.2,subtropical,AL-1995-6
7059,AL-1995,7,-1.52,3.87,81.1,subtropical,AL-1995-7
8235,AL-1995,8,-1.53,4.79,81.9,subtropical,AL-1995-8
9411,AL-1995,9,-1.68,3.09,73.7,subtropical,AL-1995-9
10587,AL-1995,10,1.99,9.3,63.6,subtropical,AL-1995-10
11763,AL-1995,11,2.63,5.8,49.7,subtropical,AL-1995-11
12939,AL-1995,12,2.44,5.07,44.7,subtropical,AL-1995-12
4,AL-1996,1,2.93,7.4,43.5,subtropical,AL-1996-1
1180,AL-1996,2,2.31,4.07,47.3,subtropical,AL-1996-2
2356,AL-1996,3,2.75,8.45,50.9,subtropical,AL-1996-3
3532,AL-1996,4,2.5,4.65,60.0,subtropical,AL-1996-4
4708,AL-1996,5,1.57,2.56,73.0,subtropical,AL-1996-5
5884,AL-1996,6,1.1,3.38,76.7,subtropical,AL-1996-6
7060,AL-1996,7,1.23,6.63,79.6,subtropical,AL-1996-7
8236,AL-1996,8,1.29,4.7,77.9,subtropical,AL-1996-8
